1st Travel Date,Airline,Booking Source,Passenger Last Name First Initial,Days in Advance (buckets),Purchased Date (week),Ticket Price - Total Paid,[Ticket Price] = [Total Paid],Is Less Than Days in Advance Threshold?,Days in Advance,Itinerary Source,Passenger Name,Purchased Date,Record Locator,Rule Class,Ticket Number,Ticket Price,Total Paid,Travel Configuration
11/13/2013,Air France,Sabre,JessopJ,< Threshold,11/10/2013,0,TRUE,TRUE,1,Concur Travel,"Jessop, Jimmy",11/12/2013,KCLIYM,Default Travel Class,5.77E+11,456,456,OA Consulting
4/15/2013,Alaska Airlines,Sabre,KunzeK,< Threshold,4/7/2013,0,TRUE,TRUE,6,Concur Travel,"Kunze, Kelli",4/9/2013,NZFWYA,Default Travel Class,2.77E+11,795,795,OA Consulting
6/9/2013,British Airways,Sabre,KunzeK,< Threshold,6/2/2013,0,TRUE,TRUE,7,Concur Travel,"Kunze, Kelli",6/2/2013,CDPXIQ,Default Travel Class,1.26E+12,550,550,OA Consulting
9/25/2013,Delta,Delta Air Lines,KunzeK,< Threshold,9/15/2013,0,TRUE,TRUE,7,TripIt,"Kunze, Kelli",9/18/2013,RHFVPN,Default Travel Class,62340642173,5,5,OA Consulting
10/21/2013,Alaska Airlines,Sabre,KunzeK,< Threshold,10/13/2013,0,TRUE,TRUE,3,Concur Travel,"Kunze, Kelli",10/18/2013,ULIPEO,Default Travel Class,2.77E+11,464,464,OA Consulting
11/7/2013,Alaska Airlines,Alaska Airlines,KunzeK,< Threshold,10/27/2013,0,TRUE,TRUE,7,TripIt,"Kunze, Kelli",10/31/2013,RPNJFB,Default Travel Class,2.72E+11,580,580,OA Consulting
5/21/2013,United,Sabre,TeegardenT,4-6 wks,4/21/2013,0,TRUE,FALSE,29,Concur Travel,"Teegarden, Tam",4/22/2013,BHZLVI,Default Travel Class,1.67E+11,305,305,OA Consulting
3/9/2013,Delta,Sabre,AstorgaA,4-6 wks,2/3/2013,0,TRUE,FALSE,30,Concur Travel,"Astorga, Argentina",2/7/2013,DLVEDQ,Default Travel Class,67204521278,610,610,OA Consulting
3/12/2013,JetBlue,Sabre,AstorgaA,4-6 wks,2/3/2013,0,TRUE,FALSE,33,Concur Travel,"Astorga, Argentina",2/7/2013,YTDKCE,Default Travel Class,2.80E+12,87,87,OA Consulting
3/15/2013,United,Sabre,AstorgaA,4-6 wks,2/3/2013,0,TRUE,FALSE,36,Concur Travel,"Astorga, Argentina",2/7/2013,DUVRKZ,Default Travel Class,1.67E+11,188,188,OA Consulting
5/9/2013,United,Sabre,YeldellY,< Threshold,4/28/2013,0,TRUE,TRUE,8,Concur Travel,"Yeldell, Yong",5/1/2013,EUHCMR,Default Travel Class,1.67E+11,0,0,OA Consulting
